neighborhood,blockgroup,bedrooms,pct.of.blockgroup,pct.of.neighborhood
CAMBRIDGE HEIGHTS,550790078002,254,0.3163138231631382,0.1295257521672616
CANNON PARK,550790128001,1125,1,0.7973068745570517
CANNON PARK,550790128002,286,0.2894736842105263,0.20269312544294826
CAPITOL HEIGHTS,550790031002,1,0.0012515644555694619,1.7866714311238162e-4
CAPITOL HEIGHTS,550790031003,264,0.2979683972911964,0.04716812578166875
CAPITOL HEIGHTS,550790031004,932,1,0.1665177773807397
CAPITOL HEIGHTS,550790032001,242,0.23336547733847637,0.043237448633196354
CAPITOL HEIGHTS,550790032002,82,0.08788853161843516,0.014650705735215293
CAPITOL HEIGHTS,550790034001,14,0.010416666666666666,0.002501340003573343
CAPITOL HEIGHTS,550790035001,757,1,0.1352510273360729
CAPITOL HEIGHTS,550790035002,1260,1,0.22512060032160086
CAPITOL HEIGHTS,550790035003,822,1,0.1468643916383777
CAPITOL HEIGHTS,550790035004,673,1,0.12024298731463284
CAPITOL HEIGHTS,550790036001,24,0.023010546500479387,0.004288011434697159
CAPITOL HEIGHTS,550790036002,526,0.6795865633074936,0.09397891727711274
CASTLE MANOR,550790214001,15,0.016339869281045753,0.006634232640424591
CASTLE MANOR,550790214002,30,0.04830917874396135,0.013268465280849183
CASTLE MANOR,550790215001,867,1,0.38345864661654133
CASTLE MANOR,550790215003,1016,1,0.44935869084475893
CASTLE MANOR,550790216002,333,0.22839506172839505,0.14727996461742593
CLARKE SQUARE,550790158001,522,1,0.1116816431322208
CLARKE SQUARE,550790158002,631,1,0.13500213949507917
CLARKE SQUARE,550790158003,724,1,0.15489944373127942
CLARKE SQUARE,550790159001,346,0.4271604938271605,0.0740265297389816
CLARKE SQUARE,550790159002,183,0.18711656441717792,0.03915275994865212
CLARKE SQUARE,550790159003,493,1,0.10547710740265297
CLARKE SQUARE,550790162001,445,0.4790096878363832,0.09520753102267865
CLARKE SQUARE,550790162002,82,0.11598302687411598,0.017543859649122806
CLARKE SQUARE,550790163001,522,0.5370370370370371,0.1116816431322208
CLARKE SQUARE,550790163004,726,0.5995045417010735,0.15532734274711169
CLAYTON CREST,550790215002,1313,1,0.7278270509977827
CLAYTON CREST,550790216002,491,0.33676268861454045,0.2721729490022173
CLOCK TOWER ACRES,550790165003,545,0.8847402597402597,0.4702329594477998
CLOCK TOWER ACRES,550790166002,614,0.9824,0.5297670405522001
COLD SPRING PARK,550790122002,579,1,0.41654676258992807
COLD SPRING PARK,550790122003,540,0.5702217529039071,0.38848920863309355
COLD SPRING PARK,550790136001,271,0.4847942754919499,0.1949640287769784
COLLEGE HEIGHTS,550790217004,960,1,1
COLUMBUS PARK,550790032001,794,0.7656702025072324,0.20369420215495126
COLUMBUS PARK,550790032002,851,0.9121114683815649,0.21831708568496666
COLUMBUS PARK,550790032003,847,1,0.2172909184197024
COLUMBUS PARK,550790033001,804,1,0.20625962031811185
COLUMBUS PARK,550790033002,281,0.36304909560723514,0.07208825038481273
COLUMBUS PARK,550790033003,321,0.3909866017052375,0.0823499230374551
CONCORDIA,550790135001,210,1,0.20689655172413793
CONCORDIA,550790135002,133,1,0.1310344827586207
CONCORDIA,550790136001,288,0.5152057245080501,0.28374384236453204
CONCORDIA,550790136002,384,1,0.3783251231527094
COOPER PARK,550790056001,1096,0.7789623312011372,0.2951791004578508
COOPER PARK,550790057001,1221,1,0.3288446000538648
COOPER PARK,550790057002,1396,1,0.3759762994882844
COPERNICUS PARK,550790217002,1220,0.8597603946441156,1
DINEEN PARK,550790036002,147,0.18992248062015504,0.0506198347107438
DINEEN PARK,550790037002,390,0.3263598326359833,0.13429752066115702
DINEEN PARK,550790051001,1108,1,0.38154269972451793
DINEEN PARK,550790051002,546,1,0.18801652892561985
DINEEN PARK,550790051003,713,1,0.24552341597796143
DOWNER WOODS,550790073001,596,0.6131687242798354,0.21285714285714286
DOWNER WOODS,550790073002,365,0.48344370860927155,0.13035714285714287
DOWNER WOODS,550790074001,876,1,0.31285714285714283
DOWNER WOODS,550790074002,963,1,0.3439285714285714
DRETZKA PARK,550790002011,129,0.29723502304147464,1
ENDERIS PARK,550790058001,585,0.4759967453213995,0.18684126477163845
ENDERIS PARK,550790058002,883,1,0.28201852443308845
ENDERIS PARK,550790058003,1107,0.984,0.3535611625678697
ENDERIS PARK,550790059002,243,0.26017130620985013,0.07761098690514212
ENDERIS PARK,550790059003,141,0.21826625386996903,0.04503353561162568
ENDERIS PARK,550790059004,172,0.21966794380587484,0.05493452571063558
ESTABROOK PARK,550790044001,65,0.2559055118110236,0.9701492537313433
ESTABROOK PARK,550790044003,2,0.0033783783783783786,0.029850746268656716
EUCLID PARK,550790194001,1317,1,1
FAIR PARK,550790128002,702,0.7105263157894737,0.48817802503477054
FAIR PARK,550790129003,736,1,0.5118219749652295
FAIRFIELD,550790008002,25,0.009044862518089725,0.022747952684258416
FAIRFIELD,550790009002,73,0.09263959390862944,0.06642402183803457
FAIRFIELD,550790010001,14,0.03036876355748373,0.012738853503184714
FAIRFIELD,550790011001,987,0.9172862453531598,0.8980891719745223
FAIRVIEW,550790192003,241,0.30739795918367346,0.05492251595259799
FAIRVIEW,550790192004,1007,1,0.22948951686417501
FAIRVIEW,550790193001,866,1,0.19735642661804922
FAIRVIEW,550790193002,815,1,0.1857338195077484
FAIRVIEW,550790193003,726,1,0.16545123062898814
FAIRVIEW,550790193004,733,1,0.1670464904284412
FERNWOOD,550790208001,653,0.9984709480122325,0.17615322363096844
FERNWOOD,550790208002,899,1,0.24251416239546802
FERNWOOD,550790208003,691,1,0.18640410035068788
FERNWOOD,550790208004,735,1,0.1982735365524683
FERNWOOD,550790208005,729,1,0.19665497707040733
FLORIST HIGHLANDS,550790003031,1035,1,0.8220810166799047
FLORIST HIGHLANDS,550790005011,224,0.42994241842610365,0.17791898332009531
FOREST HOME HILLS,550790174001,1003,1,0.27768549280177185
FOREST HOME HILLS,550790174002,1078,1,0.29844961240310075
FOREST HOME HILLS,550790188001,588,1,0.16279069767441862
FOREST HOME HILLS,550790188002,917,1,0.25387596899224807
FOREST HOME HILLS,550790201001,22,0.019748653500897665,0.006090808416389812
FOREST HOME HILLS,550790201003,4,0.0039100684261974585,0.0011074197120708748
FRANKLIN HEIGHTS,550790047001,728,1,0.09460688758934373
FRANKLIN HEIGHTS,550790047002,755,1,0.09811565951916829
FRANKLIN HEIGHTS,550790047003,1124,1,0.14606887589343728
FRANKLIN HEIGHTS,550790047004,1164,0.9974293059125964,0.15126705653021444
FRANKLIN HEIGHTS,550790063001,1099,1,0.14282001299545158
FRANKLIN HEIGHTS,550790064001,509,1,0.06614684860298896
FRANKLIN HEIGHTS,550790065001,544,1,0.07069525666016895
FRANKLIN HEIGHTS,550790065002,654,1,0.08499025341130605
FRANKLIN HEIGHTS,550790065003,602,1,0.07823261858349578
FRANKLIN HEIGHTS,550790065004,516,1,0.06705653021442495
FREEDOM VILLAGE,550790001023,60,0.5172413793103449,1
GARDEN HOMES,550790041001,192,0.34408602150537637,0.09486166007905138
GARDEN HOMES,550790042001,393,0.8891402714932126,0.1941699604743083
GARDEN HOMES,550790042002,762,1,0.37648221343873517
GARDEN HOMES,550790042003,419,1,0.20701581027667984
GARDEN HOMES,550790042004,258,0.35586206896551725,0.1274703557312253
GOLDEN GATE,550790003041,873,0.7705207413945278,1
