neighborhood,ward,bedrooms,pct.of.ward,pct.of.neighborhood
RIDGEVIEW,0003,307,0.32349841938883034,1
RIVER BEND,0268,585,0.1908023483365949,0.3667711598746082
RIVER BEND,0269,1010,0.7866043613707165,0.6332288401253918
RIVERSIDE PARK,0128,36,0.01446364001607071,0.036036036036036036
RIVERSIDE PARK,0135,342,0.3917525773195876,0.34234234234234234
RIVERSIDE PARK,0136,621,0.696969696969697,0.6216216216216216
RIVERTON HEIGHTS,0006,858,0.3618726275832982,1
RIVERWEST,0123,1000,0.47460844803037494,0.09837678307919331
RIVERWEST,0124,173,0.5195195195195195,0.01701918347270044
RIVERWEST,0125,2002,1,0.19695031972454502
RIVERWEST,0126,837,1,0.0823413674372848
RIVERWEST,0137,751,1,0.07388096409247417
RIVERWEST,0138,3007,1,0.29581898671913426
RIVERWEST,0139,1811,0.5918300653594771,0.1781603541564191
RIVERWEST,0177,584,0.311134789557805,0.057452041318248895
ROLLING GREEN,0270,113,0.07206632653061225,0.06539351851851852
ROLLING GREEN,0274,147,0.11529411764705882,0.08506944444444445
ROLLING GREEN,0275,1468,0.7281746031746031,0.8495370370370371
ROOSEVELT GROVE,0099,183,0.08359981726815897,0.03567251461988304
ROOSEVELT GROVE,0100,672,0.4880174291938998,0.13099415204678364
ROOSEVELT GROVE,0101,1922,1,0.3746588693957115
ROOSEVELT GROVE,0102,1117,0.4669732441471572,0.21773879142300195
ROOSEVELT GROVE,0104,733,0.2591937765205092,0.1428849902534113
ROOSEVELT GROVE,0105,500,0.3441156228492774,0.09746588693957114
ROOSEVELT GROVE,0107,3,0.0019946808510638296,5.847953216374269e-4
ROOT CREEK,0277,1397,0.6834637964774951,1
RUFUS KING,0058,443,0.3310911808669656,0.09048202614379085
RUFUS KING,0059,2759,0.9996376811594203,0.5635212418300654
RUFUS KING,0060,977,0.6008610086100861,0.19955065359477125
RUFUS KING,0061,307,0.2250733137829912,0.06270424836601307
RUFUS KING,0062,410,0.37374658158614404,0.08374183006535947
SAINT JOSEPH,0094,54,0.1210762331838565,0.007982261640798226
SAINT JOSEPH,0095,1183,1,0.17487065779748706
SAINT JOSEPH,0097,253,0.14598961338718985,0.03739837398373984
SAINT JOSEPH,0103,1218,0.40694954894754426,0.18004434589800444
SAINT JOSEPH,0160,1561,1,0.23074648928307465
SAINT JOSEPH,0161,540,1,0.07982261640798226
SAINT JOSEPH,0163,1188,0.7333333333333333,0.17560975609756097
SAINT JOSEPH,0164,768,0.4576877234803337,0.11352549889135255
SAVELAND PARK,0292,239,0.16061827956989247,0.13175303197353913
SAVELAND PARK,0293,1575,1,0.8682469680264608
SCHLITZ PARK,0176,14,0.07329842931937172,1
SERVITE WOODS,0005,16,0.034261241970021415,1
SHERMAN PARK,0102,141,0.058946488294314384,0.02083949157552468
SHERMAN PARK,0103,432,0.14433678583361176,0.0638486550399054
SHERMAN PARK,0104,2095,0.7408062234794908,0.30963641738102277
SHERMAN PARK,0105,59,0.040605643496214726,0.008720070942950044
SHERMAN PARK,0152,495,0.40048543689320387,0.07315991723322494
SHERMAN PARK,0153,1752,1,0.25894176766183863
SHERMAN PARK,0154,1049,0.6511483550589696,0.15503990540939994
SHERMAN PARK,0155,118,0.07737704918032787,0.01744014188590009
SHERMAN PARK,0156,625,0.35693889206167906,0.09237363287023352
SILVER CITY,0215,878,0.7523564695801199,0.24087791495198901
SILVER CITY,0216,1064,1,0.29190672153635117
SILVER CITY,0219,1673,1,0.4589849108367627
SILVER CITY,0227,30,0.027522935779816515,0.00823045267489712
SILVER SPRING,0023,395,0.4261057173678533,0.04417850352309585
SILVER SPRING,0024,949,0.9693564862104188,0.10614025276814675
SILVER SPRING,0025,1810,1,0.20243820601722404
SILVER SPRING,0026,1697,0.9877764842840512,0.1897997986802371
SILVER SPRING,0027,1510,1,0.16888491220221452
SILVER SPRING,0030,240,0.18575851393188855,0.026842635052007607
SILVER SPRING,0040,21,0.02001906577693041,0.0023487305670506654
SILVER SPRING,0041,1250,0.962278675904542,0.13980539089587293
SILVER SPRING,0043,517,1,0.05782350967453305
SILVER SPRING,0045,552,0.349146110056926,0.061738060619617494
SILVER SWAN,0030,669,0.5178018575851393,0.3285854616895874
SILVER SWAN,0031,1367,1,0.6714145383104125
SOUTHGATE,0260,45,0.05507955936352509,0.03067484662576687
SOUTHGATE,0281,223,0.13981191222570533,0.1520109066121336
SOUTHGATE,0283,69,0.049145299145299144,0.04703476482617587
SOUTHGATE,0284,1067,0.9990636704119851,0.7273346966598501
SOUTHGATE,0286,63,0.06231454005934718,0.04294478527607362
SOUTHPOINT,0282,15,1,0.009771986970684038
SOUTHPOINT,0283,1335,0.9508547008547008,0.8697068403908795
SOUTHPOINT,0288,85,0.033824114604058896,0.05537459283387622
SOUTHPOINT,0306,100,0.09523809523809523,0.06514657980456026
ST. AMELIAN'S,0080,3,0.0023847376788553257,0.0024509803921568627
ST. AMELIAN'S,0089,804,0.37781954887218044,0.6568627450980392
ST. AMELIAN'S,0090,417,0.2353273137697517,0.34068627450980393
STORY HILL,0205,1046,0.8538775510204082,0.5502367175170962
STORY HILL,0206,854,0.7286689419795221,0.4492372435560231
STORY HILL,0214,1,9.505703422053232e-4,5.260389268805891e-4
SUNSET HEIGHTS,0096,692,0.3479135243841126,0.15010845986984817
SUNSET HEIGHTS,0097,1212,0.6993652625504905,0.2629067245119306
SUNSET HEIGHTS,0100,229,0.16630355846042122,0.04967462039045553
SUNSET HEIGHTS,0102,1134,0.47408026755852845,0.24598698481561823
SUNSET HEIGHTS,0103,1343,0.448713665218844,0.2913232104121475
THE VALLEY / PIGSVILLE,0202,1,6.968641114982578e-4,0.0019646365422396855
THE VALLEY / PIGSVILLE,0214,508,0.4828897338403042,0.9980353634577603
THURSTON WOODS,0020,1749,0.9909348441926346,0.47347049269085
THURSTON WOODS,0021,8,0.008048289738430584,0.002165674066053059
THURSTON WOODS,0022,1782,1,0.4824038982133189
THURSTON WOODS,0055,155,0.06534569983136594,0.04195993502977802
TIMMERMAN AIRPORT,0035,129,0.07146814404432134,0.7049180327868853
TIMMERMAN AIRPORT,0036,54,0.05309734513274336,0.29508196721311475
TIMMERMAN WEST,0033,30,0.00810591731964334,0.009746588693957114
TIMMERMAN WEST,0034,1372,1,0.4457439896036387
TIMMERMAN WEST,0035,1676,0.9285318559556787,0.5445094217024041
TIPPECANOE,0294,1197,1,0.17937958939007942
TIPPECANOE,0295,295,0.20358868184955142,0.044208002397722164
TIPPECANOE,0296,1395,0.8012636415852958,0.20905140116888957
TIPPECANOE,0301,1699,0.796530707923113,0.25460812228383034
TIPPECANOE,0302,1012,0.7413919413919414,0.151655926869474
TIPPECANOE,0303,409,0.18415128320576318,0.061291772815824964
TIPPECANOE,0305,666,0.4396039603960396,0.09980518507417953
TOWN & COUNTRY MANOR,0017,651,0.5078003120124805,0.3276295923502768
TOWN & COUNTRY MANOR,0018,621,0.44676258992805756,0.3125314544539507
TOWN & COUNTRY MANOR,0019,715,0.6121575342465754,0.3598389531957725
TOWN OF LAKE,0302,353,0.25860805860805863,0.060445205479452056
TOWN OF LAKE,0303,1812,0.8158487167942369,0.3102739726027397
TOWN OF LAKE,0304,1573,0.962079510703364,0.26934931506849313
TOWN OF LAKE,0305,659,0.43498349834983496,0.11284246575342466
TOWN OF LAKE,0317,1443,0.8640718562874251,0.24708904109589042
TRIANGLE,0148,21,0.013341804320203304,0.03910614525139665
TRIANGLE,0174,516,0.3465413028878442,0.9608938547486033
TRIANGLE NORTH,0144,356,0.3783209351753454,0.35247524752475246
TRIANGLE NORTH,0148,458,0.2909783989834816,0.4534653465346535
TRIANGLE NORTH,0174,196,0.13163196776359973,0.19405940594059407
TRIPOLI PARK,0018,769,0.5532374100719425,1
UPPER EAST SIDE,0128,1607,0.6456408196062676,0.36079928154467894
UPPER EAST SIDE,0129,1473,0.724188790560472,0.3307139649753031
UPPER EAST SIDE,0131,462,0.20078226857887874,0.1037269869779973
UPPER EAST SIDE,0132,912,0.4019391802556192,0.20475976650202066
UPTOWN,0158,1220,1,0.21165857043719638
UPTOWN,0159,1242,1,0.21547536433032616
UPTOWN,0162,719,1,0.12473976405274115
UPTOWN,0163,432,0.26666666666666666,0.07494795281054822
UPTOWN,0164,6,0.003575685339690107,0.001040943789035392
UPTOWN,0165,1531,0.8302603036876356,0.26561415683553086
UPTOWN,0166,614,1,0.1065232477446218
VALHALLA,0036,10,0.00983284169124877,0.005737234652897304
VALHALLA,0037,656,1,0.3763625932300631
VALHALLA,0040,1028,0.9799809342230696,0.5897877223178428
VALHALLA,0041,49,0.037721324095458045,0.028112449799196786
VALLEY FORGE,0205,179,0.14612244897959184,1
VETERANS AFFAIRS,0213,1,6.006006006006006e-4,1
VOGEL PARK,0036,950,0.9341199606686332,0.7936507936507936
VOGEL PARK,0038,247,0.37537993920972645,0.20634920634920634
WAHL PARK,0067,1217,0.9001479289940828,0.4490774907749078
WAHL PARK,0068,1493,0.6499782324771441,0.5509225092250922
WALKER'S POINT,0228,435,0.31385281385281383,0.08287292817679558
WALKER'S POINT,0232,733,0.6761992619926199,0.13964564678986474
WALKER'S POINT,0233,761,1,0.14497999618975044
WALKER'S POINT,0234,966,0.9757575757575757,0.1840350542960564
WALKER'S POINT,0235,1114,0.9586919104991394,0.21223090112402362
WALKER'S POINT,0236,1240,1,0.23623547342350923
WALNUT HILL,0150,1061,0.6980263157894737,0.5014177693761814
WALNUT HILL,0170,610,0.5187074829931972,0.2882797731568998
WALNUT HILL,0171,445,0.6681681681681682,0.21030245746691872
WASHINGTON HEIGHTS,0157,803,0.6268540202966433,0.09779563999512848
WASHINGTON HEIGHTS,0167,1749,1,0.21300694190719766
WASHINGTON HEIGHTS,0168,3203,1,0.39008646937035685
WASHINGTON HEIGHTS,0203,1273,0.682573726541555,0.15503592741444402
WASHINGTON HEIGHTS,0204,1183,0.7384519350811486,0.14407502131287298
WASHINGTON PARK,0155,1159,0.76,0.26281179138322
WASHINGTON PARK,0156,1126,0.6430611079383209,0.25532879818594106
WASHINGTON PARK,0157,478,0.3731459797033568,0.10839002267573696
WASHINGTON PARK,0169,1647,1,0.373469387755102
WEDGEWOOD,0276,1590,0.6809421841541756,0.9962406015037594
WEDGEWOOD,0277,6,0.0029354207436399216,0.0037593984962406013
WEST VIEW,0271,549,0.2942122186495177,0.5
WEST VIEW,0272,549,0.3327272727272727,0.5
WHISPERING HILLS,0004,33,0.12043795620437957,1
WHITE MANOR,0264,1654,0.7948101874098991,1
WICK FIELD,0203,584,0.3131367292225201,1
WILLIAMSBURG,0118,706,0.45993485342019547,0.29490392648287383
WILLIAMSBURG,0119,1595,0.9993734335839599,0.66624895572264
WILLIAMSBURG,0124,93,0.27927927927927926,0.03884711779448621
WILSON PARK,0305,190,0.1254125412541254,0.08581752484191509
WILSON PARK,0306,309,0.29428571428571426,0.13956639566395665
WILSON PARK,0307,1715,1,0.7746160794941283
WOODLAND COURT,0275,548,0.2718253968253968,1
WYRICK PARK,0013,15,0.015463917525773196,0.0351288056206089
WYRICK PARK,0016,213,0.10607569721115538,0.49882903981264637
WYRICK PARK,0017,198,0.1544461778471139,0.4637002341920375
WYRICK PARK,0019,1,8.561643835616438e-4,0.00234192037470726
YANKEE HILL,0181,2,0.05555555555555555,0.020833333333333332
YANKEE HILL,0184,71,0.7888888888888889,0.7395833333333334
YANKEE HILL,0185,23,0.38333333333333336,0.23958333333333334
